DATE,BALANCE
2018-04-19,23738.330000000027
2018-04-20,23652.93000000003
2018-04-21,23620.48000000003
2018-04-22,23620.48000000003
2018-04-23,23620.48000000003
2018-04-24,23027.75000000003
2018-04-25,28022.780000000028
2018-04-26,25413.780000000028
2018-04-27,25413.780000000028
2018-04-28,24888.98000000003
2018-04-29,24888.98000000003
2018-04-30,24888.98000000003
2018-05-01,21825.88000000003
2018-05-02,21825.88000000003
2018-05-03,20155.69000000003
2018-05-04,20563.100000000028
2018-05-05,20410.70000000003
2018-05-06,20410.70000000003
2018-05-07,20410.70000000003
2018-05-08,19682.030000000028
2018-05-09,19419.74000000003
2018-05-10,19408.74000000003
2018-05-11,22090.19000000003
2018-05-12,20128.45000000003
2018-05-13,20128.45000000003
2018-05-14,20128.45000000003
2018-05-15,21254.82000000003
2018-05-16,20554.82000000003
2018-05-17,19413.74000000003
2018-05-18,19053.09000000003
2018-05-19,19041.41000000003
2018-05-20,19041.41000000003
2018-05-21,19041.41000000003
2018-05-22,19041.41000000003
2018-05-23,18779.36000000003
2018-05-24,18779.36000000003
2018-05-25,24899.23000000003
2018-05-26,24822.64000000003
2018-05-27,24822.64000000003
2018-05-28,24822.64000000003
2018-05-29,21760.04000000003
2018-05-30,21946.25000000003
2018-05-31,21842.57000000003
2018-06-01,21018.61000000003
2018-06-02,18678.39000000003
2018-06-03,18678.39000000003
2018-06-04,18678.39000000003
2018-06-05,19587.51000000003
2018-06-06,19168.46000000003
2018-06-07,21586.530000000028
2018-06-08,21582.23000000003
2018-06-09,21723.940000000028
2018-06-10,21723.940000000028
2018-06-11,21723.940000000028
2018-06-12,20955.48000000003
2018-06-13,20755.48000000003
2018-06-14,21326.13000000003
2018-06-15,21313.63000000003
2018-06-16,20676.88000000003
2018-06-17,20676.88000000003
2018-06-18,20676.88000000003
2018-06-19,19349.350000000028
2018-06-20,19326.350000000028
2018-06-21,19326.350000000028
2018-06-22,20393.07000000003
2018-06-23,30818.66000000003
2018-06-24,30818.66000000003
2018-06-25,30818.66000000003
2018-06-26,27553.370000000028
2018-06-27,28319.370000000028
2018-06-28,28305.370000000028
2018-06-29,28405.370000000028
2018-06-30,25805.370000000028
2018-07-01,25805.370000000028
2018-07-02,25805.370000000028
2018-07-03,23055.54000000003
2018-07-04,24433.48000000003
2018-07-05,23593.86000000003
2018-07-06,23513.86000000003
2018-07-07,22911.870000000028
2018-07-08,22911.870000000028
2018-07-09,22911.870000000028
2018-07-10,21411.870000000028
2018-07-11,21318.07000000003
2018-07-12,21343.370000000028
2018-07-13,21342.850000000028
2018-07-14,20985.120000000028
2018-07-15,20985.120000000028
2018-07-16,20985.120000000028
2018-07-17,20337.59000000003
2018-07-18,21024.89000000003
2018-07-19,21024.89000000003
2018-07-20,21024.89000000003
2018-07-21,20997.600000000028
2018-07-22,20997.600000000028
2018-07-23,20997.600000000028
2018-07-24,20630.06000000003
2018-07-25,25736.15000000003
2018-07-26,25673.45000000003
2018-07-27,25632.19000000003
2018-07-28,22560.40000000003
2018-07-29,22560.40000000003
2018-07-30,22560.40000000003
2018-07-31,22206.75000000003
2018-08-01,19888.920000000027
2018-08-02,20219.530000000028
2018-08-03,20170.23000000003
2018-08-04,20834.780000000028
2018-08-05,20834.780000000028
2018-08-06,20834.780000000028
2018-08-07,20358.240000000027
2018-08-08,20350.25000000003
2018-08-09,20350.25000000003
2018-08-10,20350.25000000003
2018-08-11,20228.04000000003
2018-08-12,20228.04000000003
2018-08-13,20228.04000000003
2018-08-14,19785.20000000003
2018-08-15,19723.00000000003
2018-08-16,19723.00000000003
2018-08-17,19390.600000000028
2018-08-18,19390.600000000028
2018-08-19,19390.600000000028
2018-08-20,19390.600000000028
